status,upload_date,size_kb,identity_name_guess,live_profiles_with_this_identity_name,live_scenarios_with_this_identity,template_scenarios_with_this_identity,s3_key,url,gsheet_preview
orphan,2025-11-09 17:59:06,362,open hearted lover,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/aa25f3dc-1729-42be-ac2a-ecc1200bbe6b/open_hearted_lover.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/aa25f3dc-1729-42be-ac2a-ecc1200bbe6b/open_hearted_lover.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/aa25f3dc-1729-42be-ac2a-ecc1200bbe6b/open_hearted_lover.jpg"")"
orphan,2025-11-09 17:59:07,537,talented innovator,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/ad95dedc-abf7-4083-bad0-dbb1d4e7343f/talented_innovator.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/ad95dedc-abf7-4083-bad0-dbb1d4e7343f/talented_innovator.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/ad95dedc-abf7-4083-bad0-dbb1d4e7343f/talented_innovator.jpg"")"
orphan,2025-11-09 17:59:08,529,alchemist,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/4186fc7f-5705-4bc3-9ad5-4d83c51aac65/alchemist.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/4186fc7f-5705-4bc3-9ad5-4d83c51aac65/alchemist.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/4186fc7f-5705-4bc3-9ad5-4d83c51aac65/alchemist.jpg"")"
orphan,2025-11-09 18:00:47,349,big wave phenom,stg:lala@gmail.com,,,media/64057d61-d166-4c83-97c3-f838b8836511/big_wave_phenom.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/64057d61-d166-4c83-97c3-f838b8836511/big_wave_phenom.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/64057d61-d166-4c83-97c3-f838b8836511/big_wave_phenom.jpg"")"
orphan,2025-11-09 18:00:51,527,financial alchemist,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/a6498370-5a12-4b01-91ec-848a63ba8890/financial_alchemist.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/a6498370-5a12-4b01-91ec-848a63ba8890/financial_alchemist.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/a6498370-5a12-4b01-91ec-848a63ba8890/financial_alchemist.jpg"")"
orphan,2025-11-09 18:00:52,588,financial brick mason,stg:lala@gmail.com,,,media/c9a4c49e-357f-4a7c-921d-29c980aed8b3/financial_brick_mason.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/c9a4c49e-357f-4a7c-921d-29c980aed8b3/financial_brick_mason.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/c9a4c49e-357f-4a7c-921d-29c980aed8b3/financial_brick_mason.jpg"")"
orphan,2025-11-09 18:00:52,536,tactical mastermind,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/3de35167-da3d-48f9-8ed2-d4fdb058ab34/tactical_mastermind.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/3de35167-da3d-48f9-8ed2-d4fdb058ab34/tactical_mastermind.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/3de35167-da3d-48f9-8ed2-d4fdb058ab34/tactical_mastermind.jpg"")"
orphan,2025-11-09 18:00:53,288,swimmer,stg:lala@gmail.com,,,media/94991177-c5c0-44f0-be38-d5114dacd86b/swimmer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/94991177-c5c0-44f0-be38-d5114dacd86b/swimmer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/94991177-c5c0-44f0-be38-d5114dacd86b/swimmer.jpg"")"
orphan,2025-11-09 18:00:54,349,big wave phenom,stg:lala@gmail.com,,,media/bbf6e43e-d799-493e-88f0-338259a988cd/big_wave_phenom.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/bbf6e43e-d799-493e-88f0-338259a988cd/big_wave_phenom.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/bbf6e43e-d799-493e-88f0-338259a988cd/big_wave_phenom.jpg"")"
orphan,2025-11-09 18:00:54,392,master of time,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/5d6af245-5d50-422c-ba29-9493e5129c79/master_of_time.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/5d6af245-5d50-422c-ba29-9493e5129c79/master_of_time.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/5d6af245-5d50-422c-ba29-9493e5129c79/master_of_time.jpg"")"
orphan,2025-11-09 18:00:55,446,big brother,stg:lala@gmail.com,,,media/dfa25d45-b7e7-43b9-8dbd-05b672ac33e9/big_brother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/dfa25d45-b7e7-43b9-8dbd-05b672ac33e9/big_brother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/dfa25d45-b7e7-43b9-8dbd-05b672ac33e9/big_brother.jpg"")"
orphan,2025-11-09 18:00:55,425,manifestation king,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/4813318f-7ae3-43e1-830a-6f2ba4fbd47c/manifestation_king.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/4813318f-7ae3-43e1-830a-6f2ba4fbd47c/manifestation_king.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/4813318f-7ae3-43e1-830a-6f2ba4fbd47c/manifestation_king.jpg"")"
orphan,2025-11-09 18:00:56,298,castle builder,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/455666e1-67da-4f6a-8ae0-9e6fef999fc7/castle_builder.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/455666e1-67da-4f6a-8ae0-9e6fef999fc7/castle_builder.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/455666e1-67da-4f6a-8ae0-9e6fef999fc7/castle_builder.jpg"")"
orphan,2025-11-09 18:00:57,687,dream chaser,,,,media/272a2f4a-b627-4447-9af6-fe1664e09024/dream_chaser.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/272a2f4a-b627-4447-9af6-fe1664e09024/dream_chaser.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/272a2f4a-b627-4447-9af6-fe1664e09024/dream_chaser.jpg"")"
orphan,2025-11-09 18:01:01,527,financial alchemist,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/ee2f986b-223d-4ca6-8efe-12611be67427/financial_alchemist.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/ee2f986b-223d-4ca6-8efe-12611be67427/financial_alchemist.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/ee2f986b-223d-4ca6-8efe-12611be67427/financial_alchemist.jpg"")"
orphan,2025-11-09 18:01:02,536,tactical mastermind,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/2f0cdf3c-2619-487d-8d8d-4206821eec92/tactical_mastermind.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/2f0cdf3c-2619-487d-8d8d-4206821eec92/tactical_mastermind.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/2f0cdf3c-2619-487d-8d8d-4206821eec92/tactical_mastermind.jpg"")"
orphan,2025-11-09 18:01:03,588,financial brick mason,stg:lala@gmail.com,,,media/5588d799-f0dd-4440-9c57-c4ef762020f7/financial_brick_mason.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/5588d799-f0dd-4440-9c57-c4ef762020f7/financial_brick_mason.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/5588d799-f0dd-4440-9c57-c4ef762020f7/financial_brick_mason.jpg"")"
orphan,2025-11-09 18:01:03,288,swimmer,stg:lala@gmail.com,,,media/d3027333-ce0b-4619-91f0-68b87cbf158c/swimmer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/d3027333-ce0b-4619-91f0-68b87cbf158c/swimmer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/d3027333-ce0b-4619-91f0-68b87cbf158c/swimmer.jpg"")"
orphan,2025-11-09 18:01:04,349,big wave phenom,stg:lala@gmail.com,,,media/bc01b8a5-2a98-4666-9740-a8dd8ff939c1/big_wave_phenom.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/bc01b8a5-2a98-4666-9740-a8dd8ff939c1/big_wave_phenom.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/bc01b8a5-2a98-4666-9740-a8dd8ff939c1/big_wave_phenom.jpg"")"
orphan,2025-11-09 18:01:04,392,master of time,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/dbcd8d51-2973-4c28-b2be-ec58cde342c7/master_of_time.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/dbcd8d51-2973-4c28-b2be-ec58cde342c7/master_of_time.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/dbcd8d51-2973-4c28-b2be-ec58cde342c7/master_of_time.jpg"")"
orphan,2025-11-09 18:01:05,446,big brother,stg:lala@gmail.com,,,media/bebce2df-d2b0-4017-9efe-b0cc22c03886/big_brother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/bebce2df-d2b0-4017-9efe-b0cc22c03886/big_brother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/bebce2df-d2b0-4017-9efe-b0cc22c03886/big_brother.jpg"")"
orphan,2025-11-09 18:01:06,298,castle builder,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/a464bdae-ce28-46c7-9908-e1a565c83bbd/castle_builder.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/a464bdae-ce28-46c7-9908-e1a565c83bbd/castle_builder.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/a464bdae-ce28-46c7-9908-e1a565c83bbd/castle_builder.jpg"")"
orphan,2025-11-09 18:01:06,425,manifestation king,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/fe711dd7-9e02-4db0-8e1c-5f2866558e10/manifestation_king.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/fe711dd7-9e02-4db0-8e1c-5f2866558e10/manifestation_king.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/fe711dd7-9e02-4db0-8e1c-5f2866558e10/manifestation_king.jpg"")"
orphan,2025-11-09 18:01:07,687,dream chaser,,,,media/5df4fd3f-d79e-40c0-a66b-a72da7196469/dream_chaser.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/5df4fd3f-d79e-40c0-a66b-a72da7196469/dream_chaser.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/5df4fd3f-d79e-40c0-a66b-a72da7196469/dream_chaser.jpg"")"
orphan,2025-11-09 18:02:52,374,joy seeker,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/a7841074-69ee-45ce-8d9a-0245b7035dbe/joy_seeker.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/a7841074-69ee-45ce-8d9a-0245b7035dbe/joy_seeker.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/a7841074-69ee-45ce-8d9a-0245b7035dbe/joy_seeker.jpg"")"
orphan,2025-11-09 18:02:53,488,agile lioness,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/20d715ce-9f8d-448c-915b-7ba0756e8527/agile_lioness.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/20d715ce-9f8d-448c-915b-7ba0756e8527/agile_lioness.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/20d715ce-9f8d-448c-915b-7ba0756e8527/agile_lioness.jpg"")"
orphan,2025-11-09 18:02:54,536,beautiful goddess,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/d0f51e23-c364-4817-bbf3-67147392e373/beautiful_goddess.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/d0f51e23-c364-4817-bbf3-67147392e373/beautiful_goddess.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/d0f51e23-c364-4817-bbf3-67147392e373/beautiful_goddess.jpg"")"
orphan,2025-11-09 18:02:54,457,grounded mother,,,,media/a0d9b54f-0575-4a96-b905-d16be9d3acf3/grounded_mother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/a0d9b54f-0575-4a96-b905-d16be9d3acf3/grounded_mother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/a0d9b54f-0575-4a96-b905-d16be9d3acf3/grounded_mother.jpg"")"
orphan,2025-11-09 18:02:55,431,money lover,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/9276e3dc-43ca-4979-8b4a-18a03da33542/money_lover.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/9276e3dc-43ca-4979-8b4a-18a03da33542/money_lover.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/9276e3dc-43ca-4979-8b4a-18a03da33542/money_lover.jpg"")"
orphan,2025-11-09 18:02:56,452,captain of my life,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_05c07943@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Latriza | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Latriza (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/ad62e2c3-9f00-48a8-8541-1d450541bd2a/captain_of_my_life.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/ad62e2c3-9f00-48a8-8541-1d450541bd2a/captain_of_my_life.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/ad62e2c3-9f00-48a8-8541-1d450541bd2a/captain_of_my_life.jpg"")"
orphan,2025-11-09 18:02:56,362,open hearted lover,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/9981aa45-7fff-40af-9d8e-e5b3626a2114/open_hearted_lover.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/9981aa45-7fff-40af-9d8e-e5b3626a2114/open_hearted_lover.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/9981aa45-7fff-40af-9d8e-e5b3626a2114/open_hearted_lover.jpg"")"
orphan,2025-11-09 18:02:57,537,talented innovator,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/3edec738-5d2e-48bf-86f7-42c850982044/talented_innovator.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/3edec738-5d2e-48bf-86f7-42c850982044/talented_innovator.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/3edec738-5d2e-48bf-86f7-42c850982044/talented_innovator.jpg"")"
orphan,2025-11-09 18:02:58,529,alchemist,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/fa54a4a6-f0b9-46ac-9ddd-7277461558f8/alchemist.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/fa54a4a6-f0b9-46ac-9ddd-7277461558f8/alchemist.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/fa54a4a6-f0b9-46ac-9ddd-7277461558f8/alchemist.jpg"")"
orphan,2025-11-09 18:03:02,374,joy seeker,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/4b6bb01b-e82c-4696-b8e1-ea0cc6161b4f/joy_seeker.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/4b6bb01b-e82c-4696-b8e1-ea0cc6161b4f/joy_seeker.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/4b6bb01b-e82c-4696-b8e1-ea0cc6161b4f/joy_seeker.jpg"")"
orphan,2025-11-09 18:03:03,488,agile lioness,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/103c92b4-aba8-458e-860b-7b28193fcab2/agile_lioness.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/103c92b4-aba8-458e-860b-7b28193fcab2/agile_lioness.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/103c92b4-aba8-458e-860b-7b28193fcab2/agile_lioness.jpg"")"
orphan,2025-11-09 18:03:03,536,beautiful goddess,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/8bdca33c-09f4-40a3-9b8e-f830c9b06d10/beautiful_goddess.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/8bdca33c-09f4-40a3-9b8e-f830c9b06d10/beautiful_goddess.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/8bdca33c-09f4-40a3-9b8e-f830c9b06d10/beautiful_goddess.jpg"")"
orphan,2025-11-09 18:03:04,457,grounded mother,,,,media/53d2cedb-af86-4492-8a48-9a6ff5d58b25/grounded_mother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/53d2cedb-af86-4492-8a48-9a6ff5d58b25/grounded_mother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/53d2cedb-af86-4492-8a48-9a6ff5d58b25/grounded_mother.jpg"")"
orphan,2025-11-09 18:03:05,452,captain of my life,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_05c07943@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Latriza | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Latriza (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/32af284e-b061-46d6-a4f1-4238fb9d3744/captain_of_my_life.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/32af284e-b061-46d6-a4f1-4238fb9d3744/captain_of_my_life.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/32af284e-b061-46d6-a4f1-4238fb9d3744/captain_of_my_life.jpg"")"
orphan,2025-11-09 18:03:05,431,money lover,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/5ad4dcc4-c2ea-4440-8351-153742d94f60/money_lover.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/5ad4dcc4-c2ea-4440-8351-153742d94f60/money_lover.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/5ad4dcc4-c2ea-4440-8351-153742d94f60/money_lover.jpg"")"
orphan,2025-11-09 18:03:06,362,open hearted lover,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/15016a9c-962c-48fe-89d1-87b8cb11f0ff/open_hearted_lover.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/15016a9c-962c-48fe-89d1-87b8cb11f0ff/open_hearted_lover.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/15016a9c-962c-48fe-89d1-87b8cb11f0ff/open_hearted_lover.jpg"")"
orphan,2025-11-09 18:03:07,529,alchemist,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/275ded42-e61d-451f-a0fc-d2d09c9f4b15/alchemist.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/275ded42-e61d-451f-a0fc-d2d09c9f4b15/alchemist.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/275ded42-e61d-451f-a0fc-d2d09c9f4b15/alchemist.jpg"")"
orphan,2025-11-09 18:03:07,537,talented innovator,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/2d7109cc-cced-4602-855c-dc7693c88baa/talented_innovator.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/2d7109cc-cced-4602-855c-dc7693c88baa/talented_innovator.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/2d7109cc-cced-4602-855c-dc7693c88baa/talented_innovator.jpg"")"
orphan,2025-11-09 22:45:20,416,magical healer,stg:lalegendsmma@gmail.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann,stg:YC test Leigh Ann (la@discovita.com),media/6c5c7a82-debe-4f2e-963d-1fcd1e95f0e4/magical_healer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/6c5c7a82-debe-4f2e-963d-1fcd1e95f0e4/magical_healer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/6c5c7a82-debe-4f2e-963d-1fcd1e95f0e4/magical_healer.jpg"")"
orphan,2025-11-09 22:45:21,437,successful entrepenuer,,,,media/639d7359-46b7-4d1e-9105-34aa2afe0491/successful_entrepenuer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/639d7359-46b7-4d1e-9105-34aa2afe0491/successful_entrepenuer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/639d7359-46b7-4d1e-9105-34aa2afe0491/successful_entrepenuer.jpg"")"
orphan,2025-11-09 22:45:22,450,power banker,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_6701f39c@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025 | stg:leigh ann IC test | stg:leigh ann no identity compnents,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com) | stg:leigh ann IC test (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com),media/a296511b-5ea1-4a8d-98b1-074440a7aa46/power_banker.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/a296511b-5ea1-4a8d-98b1-074440a7aa46/power_banker.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/a296511b-5ea1-4a8d-98b1-074440a7aa46/power_banker.jpg"")"
orphan,2025-11-09 22:45:23,658,creator,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_04c10b4f@testscenario.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_44c25234@testscenario.com | stg:test_user_6701f39c@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com | stg:test_user_f85c91d1@testscenario.com | stg:test_user_fbd2531c@testscenario.com,prd:full test sept 10 2025 | stg:Casey - BR Testing | stg:Casey - IR Testing | stg:LA dec 20 2025 | stg:LA test oct 27 | stg:YC test Leigh Ann | stg:full test sept 10 2025 | stg:leigh ann IC test | stg:leigh ann no identity compnents | stg:leigh ann test oct 23,prd:full test sept 10 2025 (la@discovita.com) | stg:Casey - BR Testing (superadmin@admin.com) | stg:Casey - IR Testing (superadmin@admin.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:LA test oct 27 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com) | stg:leigh ann IC test (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com) | stg:leigh ann test oct 23 (la@discovita.com),media/924432ea-f2fe-44f6-b162-945dbc54d823/creator.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/924432ea-f2fe-44f6-b162-945dbc54d823/creator.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/924432ea-f2fe-44f6-b162-945dbc54d823/creator.jpg"")"
orphan,2025-11-09 22:45:23,518,elegant icon,prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/f19d852f-2c3c-4193-b562-524365eabc70/elegant_icon.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/f19d852f-2c3c-4193-b562-524365eabc70/elegant_icon.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/f19d852f-2c3c-4193-b562-524365eabc70/elegant_icon.jpg"")"
orphan,2025-11-09 22:45:24,585,adventurer,stg:lalegendsmma@gmail.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann | stg:leigh ann no identity compnents,stg:YC test Leigh Ann (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com),media/11c581c8-dace-4e32-b107-4c6a3e1580f4/adventurer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/11c581c8-dace-4e32-b107-4c6a3e1580f4/adventurer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/11c581c8-dace-4e32-b107-4c6a3e1580f4/adventurer.jpg"")"
